ds,y,pandemic
1/1/2006,130695,0
2/1/2006,138428,0
3/1/2006,167439,0
4/1/2006,163272,0
5/1/2006,133902,0
6/1/2006,158425,0
7/1/2006,180015,0
8/1/2006,141631,0
9/1/2006,80397,0
10/1/2006,94351,0
11/1/2006,121916,0
12/1/2006,168434,0
1/1/2007,129756,0
2/1/2007,132949,0
3/1/2007,164547,0
4/1/2007,150561,0
5/1/2007,132044,0
6/1/2007,156450,0
7/1/2007,195409,0
8/1/2007,136660,0
9/1/2007,89704,0
10/1/2007,108205,0
11/1/2007,124474,0
12/1/2007,180026,0
1/1/2008,142861,0
2/1/2008,156831,0
3/1/2008,184267,0
4/1/2008,152199,0
5/1/2008,141236,0
6/1/2008,161958,0
7/1/2008,185447,0
8/1/2008,142467,0
9/1/2008,92037,0
10/1/2008,106104,0
11/1/2008,122250,0
12/1/2008,179614,0
1/1/2009,148886,0
2/1/2009,160282,0
3/1/2009,175929,0
4/1/2009,164090,0
5/1/2009,153443,0
6/1/2009,168561,0
7/1/2009,195940,0
8/1/2009,152573,0
9/1/2009,95263,0
10/1/2009,108820,0
11/1/2009,125494,0
12/1/2009,181816,0
1/1/2010,161094,0
2/1/2010,167462,0
3/1/2010,201378,0
4/1/2010,166955,0
5/1/2010,149775,0
6/1/2010,164205,0
7/1/2010,204526,0
8/1/2010,159408,0
9/1/2010,97010,0
10/1/2010,114699,0
11/1/2010,134320,0
12/1/2010,200846,0
1/1/2011,174144,0
2/1/2011,175114,0
3/1/2011,204046,0
4/1/2011,179444,0
5/1/2011,146583,0
6/1/2011,166545,0
7/1/2011,202493,0
8/1/2011,155133,0
9/1/2011,98280,0
10/1/2011,112536,0
11/1/2011,139721,0
12/1/2011,197713,0
1/1/2012,169355,0
2/1/2012,180595,0
3/1/2012,204724,0
4/1/2012,180511,0
5/1/2012,157233,0
6/1/2012,179814,0
7/1/2012,209824,0
8/1/2012,157863,0
9/1/2012,104360,0
10/1/2012,111253,0
11/1/2012,138395,0
12/1/2012,192158,0
1/1/2013,161455,0
2/1/2013,166010,0
3/1/2013,213109,0
4/1/2013,171630,0
5/1/2013,160785,0
6/1/2013,186481,0
7/1/2013,205655,0
8/1/2013,164336,0
9/1/2013,105426,0
10/1/2013,123663,0
11/1/2013,148512,0
12/1/2013,201347,0
1/1/2014,169280,0
2/1/2014,169328,0
3/1/2014,200732,0
4/1/2014,181664,0
5/1/2014,166249,0
6/1/2014,187083,0
7/1/2014,221006,0
8/1/2014,171486,0
9/1/2014,106757,0
10/1/2014,135730,0
11/1/2014,157737,0
12/1/2014,213129,0
1/1/2015,176621,0
2/1/2015,177805,0
3/1/2015,212134,0
4/1/2015,189903,0
5/1/2015,168347,0
6/1/2015,182364,0
7/1/2015,220662,0
8/1/2015,169063,0
9/1/2015,114280,0
10/1/2015,134317,0
11/1/2015,158450,0
12/1/2015,219096,0
1/1/2016,179559,0
2/1/2016,185272,0
3/1/2016,219673,0
4/1/2016,188604,0
5/1/2016,167884,0
6/1/2016,194088,0
7/1/2016,228169,0
8/1/2016,169023,0
9/1/2016,120340,0
10/1/2016,135467,0
11/1/2016,163152,0
12/1/2016,230453,0
1/1/2017,185873,0
2/1/2017,186670,0
3/1/2017,212600,0
4/1/2017,205822,0
5/1/2017,181669,0
6/1/2017,211119,0
7/1/2017,248626,0
8/1/2017,192878,0
9/1/2017,131416,0
10/1/2017,157380,0
11/1/2017,187062,0
12/1/2017,251800,0
1/1/2018,194609,0
2/1/2018,193575,0
3/1/2018,236818,0
4/1/2018,204734,0
5/1/2018,195491,0
6/1/2018,229261,0
7/1/2018,257050,0
8/1/2018,206034,0
9/1/2018,134910,0
10/1/2018,162552,0
11/1/2018,196546,0
12/1/2018,261147,0
1/1/2019,216509,0
2/1/2019,220046,0
3/1/2019,271742,0
4/1/2019,232834,0
5/1/2019,210664,0
6/1/2019,238888,0
7/1/2019,270462,0
8/1/2019,214780,0
9/1/2019,144583,0
10/1/2019,176514,0
11/1/2019,202783,0
12/1/2019,281115,0
1/1/2020,227200,0
2/1/2020,235740,0
3/1/2020,111191,1
4/1/2020,0,1
5/1/2020,0,1
6/1/2020,7188,1
7/1/2020,41941,1
8/1/2020,43813,1
9/1/2020,28648,1
10/1/2020,45106,1
11/1/2020,49413,1
12/1/2020,90164,1
1/1/2021,43831,1
2/1/2021,43798,1
3/1/2021,73646,1
4/1/2021,82702,1
5/1/2021,122522,1
6/1/2021,166046,1
7/1/2021,183676,1
8/1/2021,153560,1
9/1/2021,100654,1
10/1/2021,118534,1
11/1/2021,152097,1
12/1/2021,223333,1
1/1/2022,131730,1
2/1/2022,162882,1
3/1/2022,215789,1
